Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Central African Republic,Africa,15475,320,9,,9,113,2,,,
Norway,Europe,1507675,28089,107,2,107,5732,107,,,
Armenia,Europe,451831,15248,,,,8777,296,,,
India,South-East Asia,45038518,3264,742,,742,533599,39,10,,10
Mauritania,Africa,63848,1373,,,,997,21,,,
Republic of Moldova,Europe,635651,15757,20,,20,12237,303,2,,2
Belarus,Europe,994037,10520,,,,7118,75,,,
China,Western Pacific,99356481,6753,1754,,1754,122196,8,,,
Suriname,Americas,82496,14063,,,,1405,240,,,
New Caledonia,Western Pacific,80163,28078,,,,314,110,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24927820,36720,2823,4,2823,232112,342,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7326,41710,,,,2,11,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139120,832,3,,3,3056,18,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272027,620,,,,6881,16,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5400166,28249,174,1,174,62704,328,6,,6
Germany,Europe,38437756,46218,,,,174979,210,,,
Bahamas,Americas,38084,9685,,,,844,215,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
France,Europe,38997490,59960,,,,168091,258,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
Tonga,Western Pacific,16958,16044,,,,12,11,,,
Jamaica,Americas,156828,5296,4,,4,3600,122,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
Uruguay,Americas,1037893,29878,,,,7625,220,,,
Eswatini,Africa,75356,6495,7,1,7,1427,123,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Palau,Western Pacific,6332,34999,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Austria,Europe,6082347,68333,,,,22534,253,,,
Peru,Americas,4524748,13723,,,,220831,670,,,
Georgia,Europe,1862754,46695,,,,17150,430,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Sierra Leone,Africa,7836,98,18,,18,125,2,,,
Guyana,Americas,74126,9424,1,,1,1301,165,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Curaçao,Americas,45883,27962,,,,305,186,,,
Denmark,Europe,3435018,58993,,,,9667,166,,,
Botswana,Africa,330650,14060,,,,2801,119,,,
Mauritius,Africa,327305,25736,,,,1070,84,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
Mozambique,Africa,233803,748,9,,9,2252,7,,,
Burkina Faso,Africa,22123,106,1,,1,400,2,,,
Iceland,Europe,209945,57656,7,2,7,186,51,,,
Namibia,Africa,172406,6785,1,,1,4108,162,,,
Madagascar,Africa,68530,247,5,,5,1427,5,,,
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Sweden,Europe,2751918,26646,99,1,99,27286,264,7,,7
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Ireland,Europe,1736342,34976,274,6,274,9608,194,,,
Lithuania,Europe,1366346,48901,68,2,68,9805,351,,,
Slovenia,Europe,1355900,64694,13,1,13,10056,480,,,
Barbados,Americas,110653,38505,38,13,38,593,206,,,
Azerbaijan,Europe,835394,8239,23,,23,10353,102,,,
Ukraine,Europe,5531611,12648,87,,87,109920,251,,,
Fesco,Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Bulgaria,Europe,1329289,19122,23,,23,38700,557,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Guatemala,Americas,1250358,6979,2,,2,20216,113,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
Ecuador,Americas,1076147,6100,60,,60,36048,204,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Hungary,Europe,2230396,22830,15,,15,49051,502,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Kazakhstan,Europe,1504364,8012,2,,2,19072,102,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Panama,Americas,1044357,24204,10,,10,8706,202,,,
Estonia,Europe,610391,45929,25,2,25,2998,226,,,
Brazil,Americas,37519960,17652,,,,702116,330,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Slovakia,Europe,1877746,34404,4,,4,21226,389,,,
Türkiye,Europe,17004714,20162,,,,101419,120,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51694,52563,8,8,8,172,175,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Saint Lucia,Americas,30252,16475,,,,410,223,,,
Malta,Europe,121437,23600,10,2,10,906,176,1,,1
Honduras,Americas,472789,4773,,,,11114,112,,,
