,Name,Team,Number,Position,Age,Height,Weight,College,Salary
33,Carmelo Anthony,New York Knicks,7,SF,32,06-Aug,240,Syracuse,22875000.0
34,Jose Calderon,New York Knicks,3,PG,34,06-Mar,200,Alabama,7402812.0
35,Cleanthony Early,New York Knicks,11,SF,25,06-Aug,210,Wichita State,845059.0
36,Langston Galloway,New York Knicks,2,SG,24,06-Feb,200,Saint Joseph's,845059.0
37,Jerian Grant,New York Knicks,13,PG,23,06-Apr,195,Notre Dame,1572360.0
38,Robin Lopez,New York Knicks,8,C,28,7-0,255,Stanford,12650000.0
39,Kyle O'Quinn,New York Knicks,9,PF,26,06-Oct,250,Norfolk State,3750000.0
40,Kristaps Porzingis,New York Knicks,6,PF,20,07-Mar,240,Alabama,4131720.0
41,Kevin Seraphin,New York Knicks,1,C,26,06-Oct,278,Alabama,2814000.0
42,Lance Thomas,New York Knicks,42,SF,28,06-Aug,235,Duke,1636842.0
43,Sasha Vujacic,New York Knicks,18,SG,32,06-Jul,195,Alabama,947276.0
44,Derrick Williams,New York Knicks,23,PF,25,06-Aug,240,Arizona,4000000.0
45,Tony Wroten,New York Knicks,5,SG,23,06-Jun,205,Washington,167406.0
46,Elton Brand,Philadelphia 76ers,42,PF,37,06-Sep,254,Duke,4842684.1
47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,6-0,201,Murray State,947276.0
48,Robert Covington,Philadelphia 76ers,33,SF,25,06-Sep,215,Tennessee State,1000000.0
49,Joel Embiid,Philadelphia 76ers,21,C,22,7-0,250,Kansas,4626960.0
50,Jerami Grant,Philadelphia 76ers,39,SF,22,06-Aug,210,Syracuse,845059.0
51,Richaun Holmes,Philadelphia 76ers,22,PF,22,06-Oct,245,Bowling Green,1074169.0
52,Carl Landry,Philadelphia 76ers,7,PF,32,06-Sep,248,Purdue,6500000.0
53,Kendall Marshall,Philadelphia 76ers,5,PG,24,06-Apr,200,North Carolina,2144772.0
54,T.J. McConnell,Philadelphia 76ers,12,PG,24,06-Feb,200,Arizona,525093.0
55,Nerlens Noel,Philadelphia 76ers,4,PF,22,06-Nov,228,Kentucky,3457800.0
56,Jahlil Okafor,Philadelphia 76ers,8,C,20,06-Nov,275,Duke,4582680.0
57,Ish Smith,Philadelphia 76ers,1,PG,27,6-0,175,Wake Forest,947276.0
58,Nik Stauskas,Philadelphia 76ers,11,SG,22,06-Jun,205,Michigan,2869440.0
59,Hollis Thompson,Philadelphia 76ers,31,SG,25,06-Aug,206,Georgetown,947276.0
60,Christian Wood,Philadelphia 76ers,35,PF,20,06-Nov,220,UNLV,525093.0
61,Bismack Biyombo,Toronto Raptors,8,C,23,06-Sep,245,Alabama,2814000.0
62,Bruno Caboclo,Toronto Raptors,20,SF,20,06-Sep,205,Alabama,1524000.0
63,DeMarre Carroll,Toronto Raptors,5,SF,29,06-Aug,212,Missouri,13600000.0
64,DeMar DeRozan,Toronto Raptors,10,SG,26,06-Jul,220,USC,10050000.0
65,James Johnson,Toronto Raptors,3,PF,29,06-Sep,250,Wake Forest,2500000.0
66,Cory Joseph,Toronto Raptors,6,PG,24,06-Mar,190,Texas,7000000.0
67,Kyle Lowry,Toronto Raptors,7,PG,30,6-0,205,Villanova,12000000.0
68,Lucas Nogueira,Toronto Raptors,92,C,23,7-0,220,Alabama,1842000.0
69,Patrick Patterson,Toronto Raptors,54,PF,27,06-Sep,235,Kentucky,6268675.0
70,Norman Powell,Toronto Raptors,24,SG,23,06-Apr,215,UCLA,650000.0
71,Terrence Ross,Toronto Raptors,31,SF,25,06-Jul,195,Washington,3553917.0
72,Luis Scola,Toronto Raptors,4,PF,36,06-Sep,240,Alabama,2900000.0
73,Jason Thompson,Toronto Raptors,1,PF,29,06-Nov,250,Rider,245177.0
74,Jonas Valanciunas,Toronto Raptors,17,C,24,7-0,255,Alabama,4660482.0
75,Delon Wright,Toronto Raptors,55,PG,24,06-May,190,Utah,1509360.0
76,Leandro Barbosa,Golden State Warriors,19,SG,33,06-Mar,194,Alabama,2500000.0
77,Harrison Barnes,Golden State Warriors,40,SF,24,06-Aug,225,North Carolina,3873398.0
78,Andrew Bogut,Golden State Warriors,12,C,31,7-0,260,Utah,13800000.0
79,Ian Clark,Golden State Warriors,21,SG,25,06-Mar,175,Belmont,947276.0
80,Stephen Curry,Golden State Warriors,30,PG,28,06-Mar,190,Davidson,11370786.0
81,Festus Ezeli,Golden State Warriors,31,C,26,06-Nov,265,Vanderbilt,2008748.0
82,Draymond Green,Golden State Warriors,23,PF,26,06-Jul,230,Michigan State,14260870.0
83,Andre Iguodala,Golden State Warriors,9,SF,32,06-Jun,215,Arizona,11710456.0
84,Shaun Livingston,Golden State Warriors,34,PG,30,06-Jul,192,Alabama,5543725.0
85,Kevon Looney,Golden State Warriors,36,SF,20,06-Sep,220,UCLA,1131960.0
86,James Michael McAdoo,Golden State Warriors,20,SF,23,06-Sep,240,North Carolina,845059.0
87,Brandon Rush,Golden State Warriors,4,SF,30,06-Jun,220,Kansas,1270964.0
88,Marreese Speights,Golden State Warriors,5,C,28,06-Oct,255,Florida,3815000.0
89,Klay Thompson,Golden State Warriors,11,SG,26,06-Jul,215,Washington State,15501000.0
90,Anderson Varejao,Golden State Warriors,18,PF,33,06-Nov,273,Alabama,289755.0
91,Cole Aldrich,Los Angeles Clippers,45,C,27,06-Nov,250,Kansas,1100602.0
92,Jeff Ayres,Los Angeles Clippers,19,PF,29,06-Sep,250,Arizona State,111444.0
93,Jamal Crawford,Los Angeles Clippers,11,SG,36,06-May,195,Michigan,5675000.0
94,Branden Dawson,Los Angeles Clippers,22,SF,23,06-Jun,225,Michigan State,525093.0
95,Jeff Green,Los Angeles Clippers,8,SF,29,06-Sep,235,Georgetown,9650000.0
96,Blake Griffin,Los Angeles Clippers,32,PF,27,06-Oct,251,Oklahoma,18907726.0
97,Wesley Johnson,Los Angeles Clippers,33,SF,28,06-Jul,215,Syracuse,1100602.0
98,DeAndre Jordan,Los Angeles Clippers,6,C,27,06-Nov,265,Texas A&M,19689000.0
99,Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,06-Aug,230,UCLA,947276.0
100,Chris Paul,Los Angeles Clippers,3,PG,31,6-0,175,Wake Forest,21468695.0
101,Paul Pierce,Los Angeles Clippers,34,SF,38,06-Jul,235,Kansas,3376000.0
102,Pablo Prigioni,Los Angeles Clippers,9,PG,39,06-Mar,185,Alabama,947726.0
103,JJ Redick,Los Angeles Clippers,4,SG,31,06-Apr,190,Duke,7085000.0
104,Austin Rivers,Los Angeles Clippers,25,PG,23,06-Apr,200,Duke,3110796.0
105,C.J. Wilcox,Los Angeles Clippers,30,SG,25,06-May,195,Washington,1159680.0
106,Brandon Bass,Los Angeles Lakers,2,PF,31,06-Aug,250,LSU,3000000.0
107,Tarik Black,Los Angeles Lakers,28,C,24,06-Sep,250,Kansas,845059.0
108,Anthony Brown,Los Angeles Lakers,3,SF,23,06-Jul,210,Stanford,700000.0
109,Kobe Bryant,Los Angeles Lakers,24,SF,37,06-Jun,212,Alabama,25000000.0
110,Jordan Clarkson,Los Angeles Lakers,6,PG,24,06-May,194,Missouri,845059.0
111,Roy Hibbert,Los Angeles Lakers,17,C,29,07-Feb,270,Georgetown,15592217.0
112,Marcelo Huertas,Los Angeles Lakers,9,PG,33,06-Mar,200,Alabama,525093.0
113,Ryan Kelly,Los Angeles Lakers,4,PF,25,06-Nov,230,Duke,1724250.0
114,Larry Nance Jr.,Los Angeles Lakers,7,PF,23,06-Sep,230,Wyoming,1155600.0
115,Julius Randle,Los Angeles Lakers,30,PF,21,06-Sep,250,Kentucky,3132240.0
116,D'Angelo Russell,Los Angeles Lakers,1,PG,20,06-May,195,Ohio State,5103120.0
117,Robert Sacre,Los Angeles Lakers,50,C,27,7-0,270,Gonzaga,981348.0
118,Louis Williams,Los Angeles Lakers,23,SG,29,06-Jan,175,Alabama,7000000.0
119,Metta World Peace,Los Angeles Lakers,37,SF,36,06-Jul,260,St. John's,947276.0
120,Nick Young,Los Angeles Lakers,0,SF,31,06-Jul,210,USC,5219169.0
121,Eric Bledsoe,Phoenix Suns,2,PG,26,06-Jan,190,Kentucky,13500000.0
122,Devin Booker,Phoenix Suns,1,SG,19,06-Jun,206,Kentucky,2127840.0
123,Chase Budinger,Phoenix Suns,10,SF,28,06-Jul,209,Arizona,206192.0
124,Tyson Chandler,Phoenix Suns,4,C,33,07-Jan,240,Alabama,13000000.0
125,Archie Goodwin,Phoenix Suns,20,SG,21,06-May,200,Kentucky,1160160.0
126,John Jenkins,Phoenix Suns,23,SG,25,06-Apr,215,Vanderbilt,981348.0
127,Brandon Knight,Phoenix Suns,3,PG,24,06-Mar,189,Kentucky,13500000.0
128,Alex Len,Phoenix Suns,21,C,22,07-Jan,260,Maryland,3807120.0
129,Jon Leuer,Phoenix Suns,30,PF,27,06-Oct,228,Wisconsin,1035000.0
130,Phil Pressey,Phoenix Suns,25,PG,25,05-Nov,175,Missouri,55722.0
131,Ronnie Price,Phoenix Suns,14,PG,32,06-Feb,190,Utah Valley,947276.0
132,Mirza Teletovic,Phoenix Suns,35,PF,30,06-Sep,242,Alabama,5500000.0
133,P.J. Tucker,Phoenix Suns,17,SF,31,06-Jun,245,Texas,5500000.0
134,T.J. Warren,Phoenix Suns,12,SF,22,06-Aug,230,North Carolina State,2041080.0
135,Alan Williams,Phoenix Suns,15,C,23,06-Aug,260,UC Santa Barbara,83397.0
136,Quincy Acy,Sacramento Kings,13,SF,25,06-Jul,240,Baylor,981348.0
137,James Anderson,Sacramento Kings,5,SG,27,06-Jun,213,Oklahoma State,1015421.0
138,Marco Belinelli,Sacramento Kings,3,SG,30,06-May,210,Alabama,6060606.0
139,Caron Butler,Sacramento Kings,31,SF,36,06-Jul,228,Connecticut,1449187.0
140,Omri Casspi,Sacramento Kings,18,SF,27,06-Sep,225,Alabama,2836186.0
141,Willie Cauley-Stein,Sacramento Kings,0,C,22,7-0,240,Kentucky,3398280.0
142,Darren Collison,Sacramento Kings,7,PG,28,6-0,175,UCLA,5013559.0
143,DeMarcus Cousins,Sacramento Kings,15,C,25,06-Nov,270,Kentucky,15851950.0
144,Seth Curry,Sacramento Kings,30,SG,25,06-Feb,185,Duke,947276.0
145,Duje Dukan,Sacramento Kings,26,PF,24,06-Sep,220,Wisconsin,525093.0
146,Rudy Gay,Sacramento Kings,8,SF,29,06-Aug,230,Connecticut,12403101.0
147,Kosta Koufos,Sacramento Kings,41,C,27,7-0,265,Ohio State,7700000.0
148,Ben McLemore,Sacramento Kings,23,SG,23,06-May,195,Kansas,3156600.0
149,Eric Moreland,Sacramento Kings,25,PF,24,06-Oct,238,Oregon State,845059.0
150,Rajon Rondo,Sacramento Kings,9,PG,30,06-Jan,186,Kentucky,9500000.0
151,Cameron Bairstow,Chicago Bulls,41,PF,25,06-Sep,250,New Mexico,845059.0
152,Aaron Brooks,Chicago Bulls,0,PG,31,6-0,161,Oregon,2250000.0
153,Jimmy Butler,Chicago Bulls,21,SG,26,06-Jul,220,Marquette,16407500.0
154,Mike Dunleavy,Chicago Bulls,34,SG,35,06-Sep,230,Duke,4500000.0
155,Cristiano Felicio,Chicago Bulls,6,PF,23,06-Oct,275,Alabama,525093.0
156,Pau Gasol,Chicago Bulls,16,C,35,7-0,250,Alabama,7448760.0
157,Taj Gibson,Chicago Bulls,22,PF,30,06-Sep,225,USC,8500000.0
158,Justin Holiday,Chicago Bulls,7,SG,27,06-Jun,185,Washington,947276.0
159,Doug McDermott,Chicago Bulls,3,SF,24,06-Aug,225,Creighton,2380440.0
160,Nikola Mirotic,Chicago Bulls,44,PF,25,06-Oct,220,Alabama,5543725.0
161,E'Twaun Moore,Chicago Bulls,55,SG,27,06-Apr,191,Purdue,1015421.0
162,Joakim Noah,Chicago Bulls,13,C,31,06-Nov,232,Florida,13400000.0
163,Bobby Portis,Chicago Bulls,5,PF,21,06-Nov,230,Arkansas,1391160.0
164,Derrick Rose,Chicago Bulls,1,PG,27,06-Mar,190,Memphis,20093064.0
165,Tony Snell,Chicago Bulls,20,SF,24,06-Jul,200,New Mexico,1535880.0
166,Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,06-Apr,198,Saint Mary's,1147276.0
167,Channing Frye,Cleveland Cavaliers,9,PF,33,06-Nov,255,Arizona,8193029.0
168,Kyrie Irving,Cleveland Cavaliers,2,PG,24,06-Mar,193,Duke,16407501.0
169,LeBron James,Cleveland Cavaliers,23,SF,31,06-Aug,250,Alabama,22970500.0
170,Richard Jefferson,Cleveland Cavaliers,24,SF,35,06-Jul,233,Arizona,947276.0
171,Dahntay Jones,Cleveland Cavaliers,30,SG,35,06-Jun,225,Duke,4842684.1
172,James Jones,Cleveland Cavaliers,1,SG,35,06-Aug,218,Miami (FL),947276.0
173,Sasha Kaun,Cleveland Cavaliers,14,C,31,06-Nov,260,Kansas,1276000.0
174,Kevin Love,Cleveland Cavaliers,0,PF,27,06-Oct,251,UCLA,19689000.0
175,Jordan McRae,Cleveland Cavaliers,12,SG,25,06-May,179,Tennessee,111196.0
176,Timofey Mozgov,Cleveland Cavaliers,20,C,29,07-Jan,275,Alabama,4950000.0
177,Iman Shumpert,Cleveland Cavaliers,4,SG,25,06-May,220,Georgia Tech,8988765.0
178,J.R. Smith,Cleveland Cavaliers,5,SG,30,06-Jun,225,Alabama,5000000.0
179,Tristan Thompson,Cleveland Cavaliers,13,C,25,06-Sep,238,Texas,14260870.0
180,Mo Williams,Cleveland Cavaliers,52,PG,33,06-Jan,198,Alabama,2100000.0
181,Joel Anthony,Detroit Pistons,50,C,33,06-Sep,245,UNLV,2500000.0
182,Aron Baynes,Detroit Pistons,12,C,29,06-Oct,260,Washington State,6500000.0
183,Steve Blake,Detroit Pistons,22,PG,36,06-Mar,172,Maryland,2170465.0
184,Lorenzo Brown,Detroit Pistons,17,PG,25,06-May,189,North Carolina State,111444.0
185,Reggie Bullock,Detroit Pistons,25,SF,25,06-Jul,205,North Carolina,1252440.0
186,Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,06-May,205,Georgia,2891760.0
187,Spencer Dinwiddie,Detroit Pistons,8,PG,23,06-Jun,200,Colorado,845059.0
188,Andre Drummond,Detroit Pistons,0,C,22,06-Nov,279,Connecticut,3272091.0
189,Tobias Harris,Detroit Pistons,34,SF,23,06-Sep,235,Tennessee,16000000.0
190,Darrun Hilliard,Detroit Pistons,6,SF,23,06-Jun,205,Villanova,600000.0
191,Reggie Jackson,Detroit Pistons,1,PG,26,06-Mar,208,Boston College,13913044.0
192,Stanley Johnson,Detroit Pistons,3,SF,20,06-Jul,245,Arizona,2841960.0
193,Jodie Meeks,Detroit Pistons,20,SG,28,06-Apr,210,Kentucky,6270000.0
194,Marcus Morris,Detroit Pistons,13,PF,26,06-Sep,235,Kansas,5000000.0
195,Anthony Tolliver,Detroit Pistons,43,PF,31,06-Aug,240,Creighton,3000000.0
196,Lavoy Allen,Indiana Pacers,5,PF,27,06-Sep,255,Temple,4050000.0
197,Rakeem Christmas,Indiana Pacers,25,PF,24,06-Sep,250,Syracuse,1007026.0
198,Monta Ellis,Indiana Pacers,11,SG,30,06-Mar,185,Alabama,10300000.0
199,Paul George,Indiana Pacers,13,SF,26,06-Sep,220,Fresno State,17120106.0
200,George Hill,Indiana Pacers,3,PG,30,06-Mar,188,IUPUI,8000000.0
201,Jordan Hill,Indiana Pacers,27,C,28,06-Oct,235,Arizona,4000000.0
202,Solomon Hill,Indiana Pacers,44,SF,25,06-Jul,225,Arizona,1358880.0
203,Ty Lawson,Indiana Pacers,10,PG,28,05-Nov,195,North Carolina,211744.0
204,Ian Mahinmi,Indiana Pacers,28,C,29,06-Nov,250,Alabama,4000000.0
205,C.J. Miles,Indiana Pacers,0,SF,29,06-Jun,231,Alabama,4394225.0
206,Glenn Robinson III,Indiana Pacers,40,SG,22,06-Jul,222,Michigan,1100000.0
207,Rodney Stuckey,Indiana Pacers,2,PG,30,06-May,205,Eastern Washington,7000000.0
208,Myles Turner,Indiana Pacers,33,PF,20,06-Nov,243,Texas,2357760.0
209,Shayne Whittington,Indiana Pacers,42,PF,25,06-Nov,250,Western Michigan,845059.0
210,Joe Young,Indiana Pacers,1,PG,23,06-Feb,180,Oregon,1007026.0
211,Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,06-Nov,222,Alabama,1953960.0
212,Jerryd Bayless,Milwaukee Bucks,19,PG,27,06-Mar,200,Arizona,3000000.0
213,Michael Carter-Williams,Milwaukee Bucks,5,PG,24,06-Jun,190,Syracuse,2399040.0
214,Jared Cunningham,Milwaukee Bucks,9,SG,25,06-Apr,195,Oregon State,947276.0
215,Tyler Ennis,Milwaukee Bucks,11,PG,21,06-Mar,194,Syracuse,1662360.0
216,John Henson,Milwaukee Bucks,31,PF,25,06-Nov,229,North Carolina,2943221.0
217,Damien Inglis,Milwaukee Bucks,17,SF,21,06-Aug,246,Alabama,855000.0
218,O.J. Mayo,Milwaukee Bucks,3,SG,28,06-May,210,USC,8000000.0
219,Khris Middleton,Milwaukee Bucks,22,SG,24,06-Aug,234,Texas A&M,14700000.0
220,Greg Monroe,Milwaukee Bucks,15,C,26,06-Nov,265,Georgetown,16407500.0
221,Steve Novak,Milwaukee Bucks,6,SF,32,06-Oct,225,Marquette,295327.0
222,Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,06-Sep,257,LSU,845059.0
223,Jabari Parker,Milwaukee Bucks,12,PF,21,06-Aug,250,Duke,5152440.0
224,Miles Plumlee,Milwaukee Bucks,18,C,27,06-Nov,249,Duke,2109294.0
225,Greivis Vasquez,Milwaukee Bucks,21,PG,29,06-Jun,217,Maryland,6600000.0
226,Rashad Vaughn,Milwaukee Bucks,20,SG,19,06-Jun,202,UNLV,1733040.0
227,Justin Anderson,Dallas Mavericks,1,SG,22,06-Jun,228,Virginia,1449000.0
228,J.J. Barea,Dallas Mavericks,5,PG,31,6-0,185,Northeastern,4290000.0
229,Jeremy Evans,Dallas Mavericks,21,SF,28,06-Sep,200,Western Kentucky,1100602.0
230,Raymond Felton,Dallas Mavericks,2,PG,31,06-Jan,205,North Carolina,3950313.0
231,Devin Harris,Dallas Mavericks,34,PG,33,06-Mar,185,Wisconsin,4053446.0
232,David Lee,Dallas Mavericks,42,PF,33,06-Sep,245,Florida,2085671.0
233,Wesley Matthews,Dallas Mavericks,23,SG,29,06-May,220,Marquette,16407500.0
234,JaVale McGee,Dallas Mavericks,11,C,28,7-0,270,Nevada,1270964.0
235,Salah Mejri,Dallas Mavericks,50,C,29,07-Feb,245,Alabama,525093.0
236,Dirk Nowitzki,Dallas Mavericks,41,PF,37,7-0,245,Alabama,8333334.0
237,Zaza Pachulia,Dallas Mavericks,27,C,32,06-Nov,275,Alabama,5200000.0
238,Chandler Parsons,Dallas Mavericks,25,SF,27,06-Oct,230,Florida,15361500.0
239,Dwight Powell,Dallas Mavericks,7,PF,24,06-Nov,240,Stanford,845059.0
240,Charlie Villanueva,Dallas Mavericks,3,PF,31,06-Nov,232,Connecticut,947276.0
241,Deron Williams,Dallas Mavericks,8,PG,31,06-Mar,200,Illinois,5378974.0
242,Trevor Ariza,Houston Rockets,1,SF,30,06-Aug,215,UCLA,8193030.0
243,Michael Beasley,Houston Rockets,8,SF,27,06-Oct,235,Kansas State,306527.0
244,Patrick Beverley,Houston Rockets,2,PG,27,06-Jan,185,Arkansas,6486486.0
245,Corey Brewer,Houston Rockets,33,SG,30,06-Sep,186,Florida,8229375.0
246,Clint Capela,Houston Rockets,15,PF,22,06-Oct,240,Alabama,1242720.0
247,Sam Dekker,Houston Rockets,7,SF,22,06-Sep,230,Wisconsin,1646400.0
248,Andrew Goudelock,Houston Rockets,0,PG,27,06-Mar,200,Charleston,200600.0
249,James Harden,Houston Rockets,13,SG,26,06-May,220,Arizona State,15756438.0
250,Montrezl Harrell,Houston Rockets,35,PF,22,06-Aug,240,Louisville,1000000.0
251,Dwight Howard,Houston Rockets,12,C,30,06-Nov,265,Alabama,22359364.0
252,Terrence Jones,Houston Rockets,6,PF,24,06-Sep,252,Kentucky,2489530.0
253,K.J. McDaniels,Houston Rockets,32,SG,23,06-Jun,205,Clemson,3189794.0
254,Donatas Motiejunas,Houston Rockets,20,PF,25,7-0,222,Alabama,2288205.0
255,Josh Smith,Houston Rockets,5,C,30,06-Sep,225,Alabama,947276.0
256,Jason Terry,Houston Rockets,31,SG,38,06-Feb,185,Arizona,947276.0
257,Jordan Adams,Memphis Grizzlies,3,SG,21,06-May,209,UCLA,1404600.0
258,Tony Allen,Memphis Grizzlies,9,SG,34,06-Apr,213,Oklahoma State,5158539.0
259,Chris Andersen,Memphis Grizzlies,7,PF,37,06-Oct,245,Blinn College,5000000.0
260,Matt Barnes,Memphis Grizzlies,22,SF,36,06-Jul,226,UCLA,3542500.0
261,Vince Carter,Memphis Grizzlies,15,SG,39,06-Jun,220,North Carolina,4088019.0
262,Mike Conley,Memphis Grizzlies,11,PG,28,06-Jan,175,Ohio State,9588426.0
263,Bryce Cotton,Memphis Grizzlies,8,PG,23,06-Jan,165,Providence,700902.0
264,Jordan Farmar,Memphis Grizzlies,4,PG,29,06-Feb,180,UCLA,4842684.1
265,Marc Gasol,Memphis Grizzlies,33,C,31,07-Jan,255,Alabama,19688000.0
266,JaMychal Green,Memphis Grizzlies,0,PF,25,06-Sep,227,Alabama,845059.0
267,P.J. Hairston,Memphis Grizzlies,19,SF,23,06-Jun,230,North Carolina,1201440.0
268,Jarell Martin,Memphis Grizzlies,10,PF,22,06-Oct,239,LSU,1230840.0
269,Ray McCallum,Memphis Grizzlies,5,PG,24,06-Mar,190,Detroit,4842684.1
270,Xavier Munford,Memphis Grizzlies,14,PG,24,06-Mar,180,Rhode Island,4842684.1
271,Zach Randolph,Memphis Grizzlies,50,PF,34,06-Sep,260,Michigan State,9638555.0
272,Lance Stephenson,Memphis Grizzlies,1,SF,25,06-May,230,Cincinnati,9000000.0
273,Alex Stepheson,Memphis Grizzlies,35,PF,28,06-Oct,270,USC,4842684.1
274,Brandan Wright,Memphis Grizzlies,34,PF,28,06-Oct,210,North Carolina,5464000.0
275,Alexis Ajinca,New Orleans Pelicans,42,C,28,07-Feb,248,Alabama,4389607.0
276,Ryan Anderson,New Orleans Pelicans,33,PF,28,06-Oct,240,California,8500000.0
277,Omer Asik,New Orleans Pelicans,3,C,29,7-0,255,Alabama,9213483.0
278,Luke Babbitt,New Orleans Pelicans,8,SF,26,06-Sep,225,Nevada,1100602.0
279,Norris Cole,New Orleans Pelicans,30,PG,27,06-Feb,175,Cleveland State,3036927.0
280,Dante Cunningham,New Orleans Pelicans,44,PF,29,06-Aug,230,Villanova,2850000.0
281,Anthony Davis,New Orleans Pelicans,23,PF,23,06-Oct,253,Kentucky,7070730.0
282,Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,06-Jun,203,Iowa State,169883.0
283,Toney Douglas,New Orleans Pelicans,16,PG,30,06-Feb,195,Florida State,1164858.0
284,James Ennis,New Orleans Pelicans,4,SF,25,06-Jul,210,Long Beach State,845059.0
285,Tyreke Evans,New Orleans Pelicans,1,SG,26,06-Jun,220,Memphis,10734586.0
286,Tim Frazier,New Orleans Pelicans,2,PG,25,06-Jan,170,Penn State,845059.0
287,Alonzo Gee,New Orleans Pelicans,15,SF,29,06-Jun,225,Alabama,1320000.0
288,Eric Gordon,New Orleans Pelicans,10,SG,27,06-Apr,215,Indiana,15514031.0
289,Jordan Hamilton,New Orleans Pelicans,25,SG,25,06-Jul,220,Texas,1015421.0
290,Jrue Holiday,New Orleans Pelicans,11,PG,25,06-Apr,205,UCLA,10595507.0
291,Orlando Johnson,New Orleans Pelicans,0,SG,27,06-May,220,UC Santa Barbara,55722.0
292,Kendrick Perkins,New Orleans Pelicans,5,C,31,06-Oct,270,Alabama,947276.0
293,Quincy Pondexter,New Orleans Pelicans,20,SF,28,06-Jul,220,Washington,3382023.0
294,LaMarcus Aldridge,San Antonio Spurs,12,PF,30,06-Nov,240,Texas,19689000.0
295,Kyle Anderson,San Antonio Spurs,1,SF,22,06-Sep,230,UCLA,1142880.0
296,Matt Bonner,San Antonio Spurs,15,C,36,06-Oct,235,Florida,947276.0
297,Boris Diaw,San Antonio Spurs,33,C,34,06-Aug,250,Alabama,7500000.0
298,Tim Duncan,San Antonio Spurs,21,C,40,06-Nov,250,Wake Forest,5250000.0
299,Manu Ginobili,San Antonio Spurs,20,SG,38,06-Jun,205,Alabama,2814000.0
300,Danny Green,San Antonio Spurs,14,SG,28,06-Jun,215,North Carolina,10000000.0
301,Kawhi Leonard,San Antonio Spurs,2,SF,24,06-Jul,230,San Diego State,16407500.0
